job_role,required_skills,job_description,job_full_text
technology specialist,"Technical Expertise, Problem Solving, Troubleshooting, IT Support",provides technical expertise and support resolving complex it issues.,"role: technology specialist [SEP] description: provides technical expertise and support resolving complex it issues. [SEP] skills: Technical Expertise, Problem Solving, Troubleshooting, IT Support"
director oracle,"Oracle Database, Team Leadership, Project Management, Budgeting",manages oracle database teams and projects ensuring efficient operations.,"role: director oracle [SEP] description: manages oracle database teams and projects ensuring efficient operations. [SEP] skills: Oracle Database, Team Leadership, Project Management, Budgeting"
knowledge manager,"Knowledge Management, Information Architecture, Collaboration, Documentation",manages knowledge assets ensuring information is accessible and organized.,"role: knowledge manager [SEP] description: manages knowledge assets ensuring information is accessible and organized. [SEP] skills: Knowledge Management, Information Architecture, Collaboration, Documentation"
manager hardware,"Hardware Management, Team Leadership, Budgeting, Inventory Management",manages hardware resources leading teams and overseeing hardware operations.,"role: manager hardware [SEP] description: manages hardware resources leading teams and overseeing hardware operations. [SEP] skills: Hardware Management, Team Leadership, Budgeting, Inventory Management"
sharepoint manager,"SharePoint, Team Leadership, Project Management, Collaboration",manages sharepoint environments leading teams and ensuring efficient collaboration.,"role: sharepoint manager [SEP] description: manages sharepoint environments leading teams and ensuring efficient collaboration. [SEP] skills: SharePoint, Team Leadership, Project Management, Collaboration"
requirements manager,"Requirements Gathering, Analysis, Documentation, Communication",manages requirements for it projects ensuring they are well-defined and communicated.,"role: requirements manager [SEP] description: manages requirements for it projects ensuring they are well-defined and communicated. [SEP] skills: Requirements Gathering, Analysis, Documentation, Communication"
implementation director,"Implementation Management, Project Management, Team Leadership, Communication",manages it project implementations leading teams and ensuring successful deployments.,"role: implementation director [SEP] description: manages it project implementations leading teams and ensuring successful deployments. [SEP] skills: Implementation Management, Project Management, Team Leadership, Communication"
technology officer,"IT Strategy, Leadership, Innovation, Project Management",provides technology leadership defining it strategy and driving innovation.,"role: technology officer [SEP] description: provides technology leadership defining it strategy and driving innovation. [SEP] skills: IT Strategy, Leadership, Innovation, Project Management"
director business systems,"Business Systems, Team Leadership, Project Management, Process Improvement",manages business systems leading teams and improving business processes.,"role: director business systems [SEP] description: manages business systems leading teams and improving business processes. [SEP] skills: Business Systems, Team Leadership, Project Management, Process Improvement"
manager net,"NET Development, Team Leadership, Project Management, .NET Framework",manages .net development teams and projects ensuring efficient development practices.,"role: manager net [SEP] description: manages .net development teams and projects ensuring efficient development practices. [SEP] skills: NET Development, Team Leadership, Project Management, .NET Framework"
systems integration manager,"Systems Integration, Project Management, Team Leadership, Communication",manages systems integration projects leading teams and ensuring successful integration.,"role: systems integration manager [SEP] description: manages systems integration projects leading teams and ensuring successful integration. [SEP] skills: Systems Integration, Project Management, Team Leadership, Communication"
digital program manager,"Digital Strategy, Program Management, Team Leadership, Communication",manages digital programs leading teams and ensuring successful execution.,"role: digital program manager [SEP] description: manages digital programs leading teams and ensuring successful execution. [SEP] skills: Digital Strategy, Program Management, Team Leadership, Communication"
integration director,"Integration Management, Project Management, Team Leadership, Communication",manages integration projects leading teams and ensuring successful integration.,"role: integration director [SEP] description: manages integration projects leading teams and ensuring successful integration. [SEP] skills: Integration Management, Project Management, Team Leadership, Communication"
director hardware,"Hardware Management, Team Leadership, Budgeting, Strategic Planning",manages hardware resources leading teams and developing hardware strategies.,"role: director hardware [SEP] description: manages hardware resources leading teams and developing hardware strategies. [SEP] skills: Hardware Management, Team Leadership, Budgeting, Strategic Planning"
manager linux,"Linux Administration, Team Leadership, Project Management, Troubleshooting",manages linux systems and teams ensuring efficient operations and troubleshooting issues.,"role: manager linux [SEP] description: manages linux systems and teams ensuring efficient operations and troubleshooting issues. [SEP] skills: Linux Administration, Team Leadership, Project Management, Troubleshooting"
manager php,"PHP Development, Team Leadership, Project Management, Web Development",manages php development teams and projects ensuring efficient development practices.,"role: manager php [SEP] description: manages php development teams and projects ensuring efficient development practices. [SEP] skills: PHP Development, Team Leadership, Project Management, Web Development"
firmware manager,"Firmware Development, Team Leadership, Project Management, Embedded Systems",manages firmware development teams and projects ensuring efficient development practices.,"role: firmware manager [SEP] description: manages firmware development teams and projects ensuring efficient development practices. [SEP] skills: Firmware Development, Team Leadership, Project Management, Embedded Systems"
it program engagement director,"IT Program Management, Customer Relationship Management, Stakeholder Management, Team Leadership",manages it program engagements building customer relationships and leading teams.,"role: it program engagement director [SEP] description: manages it program engagements building customer relationships and leading teams. [SEP] skills: IT Program Management, Customer Relationship Management, Stakeholder Management, Team Leadership"
manager unix,"UNIX Administration, Team Leadership, Project Management, Troubleshooting",manages unix systems and teams ensuring efficient operations and troubleshooting issues.,"role: manager unix [SEP] description: manages unix systems and teams ensuring efficient operations and troubleshooting issues. [SEP] skills: UNIX Administration, Team Leadership, Project Management, Troubleshooting"
technology adoption manager,"Technology Adoption, Training, Communication, Change Management",manages technology adoption initiatives providing training and communication to ensure successful adoption.,"role: technology adoption manager [SEP] description: manages technology adoption initiatives providing training and communication to ensure successful adoption. [SEP] skills: Technology Adoption, Training, Communication, Change Management"
it support specialist,"Technical Support, Troubleshooting, Customer Service, Hardware/Software",provides technical support to end-users resolving hardware and software issues.,"role: it support specialist [SEP] description: provides technical support to end-users resolving hardware and software issues. [SEP] skills: Technical Support, Troubleshooting, Customer Service, Hardware/Software"
customer service representative,"Customer Service, Communication, Problem Solving, Technical Support",provides customer service resolving issues and providing technical support.,"role: customer service representative [SEP] description: provides customer service resolving issues and providing technical support. [SEP] skills: Customer Service, Communication, Problem Solving, Technical Support"
technical product manager,"Product Management, Technical Expertise, Market Analysis, Requirements Gathering",manages technical products defining product strategy and gathering requirements.,"role: technical product manager [SEP] description: manages technical products defining product strategy and gathering requirements. [SEP] skills: Product Management, Technical Expertise, Market Analysis, Requirements Gathering"
project manager,"Project Management, Planning, Execution, Communication",manages projects ensuring they are completed on time and within budget.,"role: project manager [SEP] description: manages projects ensuring they are completed on time and within budget. [SEP] skills: Project Management, Planning, Execution, Communication"
program manager,"Program Management, Planning, Execution, Communication",manages programs ensuring they are completed on time and within budget.,"role: program manager [SEP] description: manages programs ensuring they are completed on time and within budget. [SEP] skills: Program Management, Planning, Execution, Communication"
portfolio manager,"Portfolio Management, Investment Management, Risk Management, Financial Analysis",manages investment portfolios assessing risk and making investment decisions.,"role: portfolio manager [SEP] description: manages investment portfolios assessing risk and making investment decisions. [SEP] skills: Portfolio Management, Investment Management, Risk Management, Financial Analysis"
chief information officer cio,"IT Strategy, Leadership, Budgeting, Project Management",leads it organizations defining it strategy and overseeing it operations.,"role: chief information officer cio [SEP] description: leads it organizations defining it strategy and overseeing it operations. [SEP] skills: IT Strategy, Leadership, Budgeting, Project Management"
chief technology officer cto,"Technology Strategy, Innovation, Research and Development, Team Leadership",leads technology initiatives driving innovation and overseeing research and development.,"role: chief technology officer cto [SEP] description: leads technology initiatives driving innovation and overseeing research and development. [SEP] skills: Technology Strategy, Innovation, Research and Development, Team Leadership"
it director,"IT Management, Team Leadership, Budgeting, Project Management",manages it teams and projects ensuring efficient operations.,"role: it director [SEP] description: manages it teams and projects ensuring efficient operations. [SEP] skills: IT Management, Team Leadership, Budgeting, Project Management"
technical operations officer,"Technical Operations, Infrastructure Management, System Administration, Incident Response",manages technical operations ensuring the stability and performance of it systems.,"role: technical operations officer [SEP] description: manages technical operations ensuring the stability and performance of it systems. [SEP] skills: Technical Operations, Infrastructure Management, System Administration, Incident Response"
information management systems director,"Information Management, Systems Administration, Data Management, Compliance",manages information management systems ensuring data is accessible and secure.,"role: information management systems director [SEP] description: manages information management systems ensuring data is accessible and secure. [SEP] skills: Information Management, Systems Administration, Data Management, Compliance"
senior it consultant,"IT Consulting, Project Management, Technical Expertise, Client Management",provides it consulting services managing projects and providing technical expertise.,"role: senior it consultant [SEP] description: provides it consulting services managing projects and providing technical expertise. [SEP] skills: IT Consulting, Project Management, Technical Expertise, Client Management"
technical lead,"Technical Leadership, Software Development, Team Leadership, Mentoring",leads technical teams providing guidance and mentoring team members.,"role: technical lead [SEP] description: leads technical teams providing guidance and mentoring team members. [SEP] skills: Technical Leadership, Software Development, Team Leadership, Mentoring"
it apprentice,"Technical Support, Troubleshooting, Learning Agility, Customer Service",provides technical support to end-users learning it concepts and developing technical skills.,"role: it apprentice [SEP] description: provides technical support to end-users learning it concepts and developing technical skills. [SEP] skills: Technical Support, Troubleshooting, Learning Agility, Customer Service"
it technician,"Technical Support, Troubleshooting, Hardware/Software, Networking",provides technical support to end-users resolving hardware and software issues.,"role: it technician [SEP] description: provides technical support to end-users resolving hardware and software issues. [SEP] skills: Technical Support, Troubleshooting, Hardware/Software, Networking"
it systems administrator,"System Administration, Linux/Windows Servers, Troubleshooting, Scripting",manages and maintains it systems ensuring stability and performance.,"role: it systems administrator [SEP] description: manages and maintains it systems ensuring stability and performance. [SEP] skills: System Administration, Linux/Windows Servers, Troubleshooting, Scripting"
it engineer,"System Engineering, Networking, Cloud Computing, Security",engineers it systems ensuring scalability reliability and security.,"role: it engineer [SEP] description: engineers it systems ensuring scalability reliability and security. [SEP] skills: System Engineering, Networking, Cloud Computing, Security"
computer network specialist,"Networking, Troubleshooting, System Administration, Security",manages and maintains computer networks ensuring stability and security.,"role: computer network specialist [SEP] description: manages and maintains computer networks ensuring stability and security. [SEP] skills: Networking, Troubleshooting, System Administration, Security"
computer and information research scientist,"Research Methodologies, Data Analysis, Programming, Scientific Writing",conducts research in computer science and develops new technologies.,"role: computer and information research scientist [SEP] description: conducts research in computer science and develops new technologies. [SEP] skills: Research Methodologies, Data Analysis, Programming, Scientific Writing"
computer and information research manager,"Research Management, Team Leadership, Budgeting, Project Management",manages computer and information research projects and teams.,"role: computer and information research manager [SEP] description: manages computer and information research projects and teams. [SEP] skills: Research Management, Team Leadership, Budgeting, Project Management"
software development manager,"Software Development, Team Leadership, Project Management, Software Architecture",manages software development teams and projects ensuring efficient development practices.,"role: software development manager [SEP] description: manages software development teams and projects ensuring efficient development practices. [SEP] skills: Software Development, Team Leadership, Project Management, Software Architecture"
software development engineer,"Software Development, Programming Languages, Algorithm Design, Problem Solving",develops software applications implementing algorithms and solving complex problems.,"role: software development engineer [SEP] description: develops software applications implementing algorithms and solving complex problems. [SEP] skills: Software Development, Programming Languages, Algorithm Design, Problem Solving"
application designer,"Application Design, UI/UX Principles, Programming Languages, Software Architecture",designs software applications ensuring usability and functionality.,"role: application designer [SEP] description: designs software applications ensuring usability and functionality. [SEP] skills: Application Design, UI/UX Principles, Programming Languages, Software Architecture"
application engineer,"Application Development, Programming Languages, Troubleshooting, System Administration",develops and maintains software applications troubleshooting issues and ensuring stability.,"role: application engineer [SEP] description: develops and maintains software applications troubleshooting issues and ensuring stability. [SEP] skills: Application Development, Programming Languages, Troubleshooting, System Administration"
lead programmer,"Programming Languages, Software Development, Team Leadership, Mentoring",leads programming teams providing technical guidance and mentoring team members.,"role: lead programmer [SEP] description: leads programming teams providing technical guidance and mentoring team members. [SEP] skills: Programming Languages, Software Development, Team Leadership, Mentoring"
iteration manager,"Agile Methodologies, Scrum, Kanban, Team Facilitation",facilitates agile development teams ensuring efficient iteration and collaboration.,"role: iteration manager [SEP] description: facilitates agile development teams ensuring efficient iteration and collaboration. [SEP] skills: Agile Methodologies, Scrum, Kanban, Team Facilitation"
webmaster,"Web Development, Web Design, System Administration, Content Management",manages websites ensuring functionality security and content quality.,"role: webmaster [SEP] description: manages websites ensuring functionality security and content quality. [SEP] skills: Web Development, Web Design, System Administration, Content Management"
ux/ui researcher,"User Research, Usability Testing, Data Analysis, Reporting",conducts user research and usability testing to inform design decisions.,"role: ux/ui researcher [SEP] description: conducts user research and usability testing to inform design decisions. [SEP] skills: User Research, Usability Testing, Data Analysis, Reporting"
ux/ui specialist,"UX/UI Design, User Research, Prototyping, Usability Testing",designs user interfaces and experiences ensuring usability and aesthetic appeal.,"role: ux/ui specialist [SEP] description: designs user interfaces and experiences ensuring usability and aesthetic appeal. [SEP] skills: UX/UI Design, User Research, Prototyping, Usability Testing"
animator,"Animation Software, 2D/3D Animation, Storyboarding, Visual Effects",creates animations for various media including films games and websites.,"role: animator [SEP] description: creates animations for various media including films games and websites. [SEP] skills: Animation Software, 2D/3D Animation, Storyboarding, Visual Effects"
motion graphics artist,"Motion Graphics, Animation Software, Visual Effects, Graphic Design",creates motion graphics and visual effects for various media.,"role: motion graphics artist [SEP] description: creates motion graphics and visual effects for various media. [SEP] skills: Motion Graphics, Animation Software, Visual Effects, Graphic Design"
2d artist/animator,"2D Animation, Drawing, Illustration, Animation Software",creates 2d animations for various media.,"role: 2d artist/animator [SEP] description: creates 2d animations for various media. [SEP] skills: 2D Animation, Drawing, Illustration, Animation Software"
3d artist/animator,"3D Animation, Modeling, Texturing, Rigging",creates 3d animations for various media.,"role: 3d artist/animator [SEP] description: creates 3d animations for various media. [SEP] skills: 3D Animation, Modeling, Texturing, Rigging"
character designer,"Character Design, Illustration, Drawing, Animation",designs characters for animation games and other media.,"role: character designer [SEP] description: designs characters for animation games and other media. [SEP] skills: Character Design, Illustration, Drawing, Animation"
storyboard artist,"Storyboarding, Drawing, Visual Communication, Film/Animation",creates storyboards for films animations and other media.,"role: storyboard artist [SEP] description: creates storyboards for films animations and other media. [SEP] skills: Storyboarding, Drawing, Visual Communication, Film/Animation"
vfx artist,"Visual Effects, Compositing, 3D Modeling, Simulation",creates visual effects for films television and other media.,"role: vfx artist [SEP] description: creates visual effects for films television and other media. [SEP] skills: Visual Effects, Compositing, 3D Modeling, Simulation"
rigging artist,"Rigging, Animation, 3D Modeling, Character Setup",creates rigs for animating 3d characters.,"role: rigging artist [SEP] description: creates rigs for animating 3d characters. [SEP] skills: Rigging, Animation, 3D Modeling, Character Setup"
technical animator,"Technical Animation, Scripting, Programming, Animation Software",develops tools and workflows for animation production.,"role: technical animator [SEP] description: develops tools and workflows for animation production. [SEP] skills: Technical Animation, Scripting, Programming, Animation Software"
art director,"Art Direction, Visual Design, Team Leadership, Project Management",leads art teams providing visual direction and ensuring aesthetic consistency.,"role: art director [SEP] description: leads art teams providing visual direction and ensuring aesthetic consistency. [SEP] skills: Art Direction, Visual Design, Team Leadership, Project Management"
animation director,"Animation Direction, Storytelling, Team Leadership, Project Management",directs animation projects ensuring artistic quality and storytelling effectiveness.,"role: animation director [SEP] description: directs animation projects ensuring artistic quality and storytelling effectiveness. [SEP] skills: Animation Direction, Storytelling, Team Leadership, Project Management"
visual effects animator,"Visual Effects, Animation, Compositing, 3D Modeling",creates visual effects for films television and other media.,"role: visual effects animator [SEP] description: creates visual effects for films television and other media. [SEP] skills: Visual Effects, Animation, Compositing, 3D Modeling"
graphic effects supervisor,"Visual Effects Supervision, Team Leadership, Technical Expertise, Project Management",supervises visual effects projects ensuring technical and artistic quality.,"role: graphic effects supervisor [SEP] description: supervises visual effects projects ensuring technical and artistic quality. [SEP] skills: Visual Effects Supervision, Team Leadership, Technical Expertise, Project Management"
forensic animator,"Forensic Animation, 3D Modeling, Legal Expertise, Visual Communication",creates animations for legal presentations visualizing forensic evidence.,"role: forensic animator [SEP] description: creates animations for legal presentations visualizing forensic evidence. [SEP] skills: Forensic Animation, 3D Modeling, Legal Expertise, Visual Communication"
compositor,"Compositing, Visual Effects, Color Correction, Image Manipulation",combines visual elements to create final images for films television and other media.,"role: compositor [SEP] description: combines visual elements to create final images for films television and other media. [SEP] skills: Compositing, Visual Effects, Color Correction, Image Manipulation"
effects technical director fx td,"Visual Effects, Technical Expertise, Scripting, Problem Solving",develops technical solutions for visual effects production.,"role: effects technical director fx td [SEP] description: develops technical solutions for visual effects production. [SEP] skills: Visual Effects, Technical Expertise, Scripting, Problem Solving"
layout artist,"Layout, Cinematography, 3D Modeling, Visual Storytelling",creates layouts for animated scenes determining camera angles and composition.,"role: layout artist [SEP] description: creates layouts for animated scenes determining camera angles and composition. [SEP] skills: Layout, Cinematography, 3D Modeling, Visual Storytelling"
ai researcher,"AI/ML Algorithms, Python, Research Methodologies, Data Analysis",conducts research in artificial intelligence and machine learning developing new algorithms and techniques.,"role: ai researcher [SEP] description: conducts research in artificial intelligence and machine learning developing new algorithms and techniques. [SEP] skills: AI/ML Algorithms, Python, Research Methodologies, Data Analysis"
ai software architect,"AI/ML Architecture, Software Design, Cloud Computing, Data Modeling",designs and implements ai software systems ensuring scalability and performance.,"role: ai software architect [SEP] description: designs and implements ai software systems ensuring scalability and performance. [SEP] skills: AI/ML Architecture, Software Design, Cloud Computing, Data Modeling"
business intelligence developer,"Business Intelligence Tools, Data Modeling, SQL, ETL Processes",develops business intelligence solutions creating reports and dashboards.,"role: business intelligence developer [SEP] description: develops business intelligence solutions creating reports and dashboards. [SEP] skills: Business Intelligence Tools, Data Modeling, SQL, ETL Processes"
